timestamp,route,distance_km,normal_time_min,current_time_min,delay_min
2026-09-25 14:53:24,Uttora → FarmGate,N/A,N/A,N/A,N/A
2026-09-25 14:53:24,Mirpur → Motijhil,N/A,N/A,N/A,N/A
2026-09-25 14:53:24,Jatrabari → Gulistan,N/A,N/A,N/A,N/A
2026-09-25 14:53:24,Dhanmondi → Shahbagh,N/A,N/A,N/A,N/A
2026-09-25 14:53:24,Gazipur → Banani,N/A,N/A,N/A,N/A
2026-09-25 14:55:26,Uttora → FarmGate,N/A,N/A,N/A,N/A
2026-09-25 14:55:26,Mirpur → Motijhil,N/A,N/A,N/A,N/A
2026-09-25 14:55:26,Jatrabari → Gulistan,N/A,N/A,N/A,N/A
2026-09-25 14:55:26,Dhanmondi → Shahbagh,N/A,N/A,N/A,N/A
2026-09-25 14:55:26,Gazipur → Banani,N/A,N/A,N/A,N/A
